Creating 500 baboon threads...

Crossed: 267   | Waiting [E]: 365   | <---  1     | Waiting [W]: 367  
Crossed: 269   | Waiting [E]: 365   | --->  0     | Waiting [W]: 366  
Crossed: 269   | Waiting [E]: 364   | <---  1     | Waiting [W]: 366  
Crossed: 271   | Waiting [E]: 364   | --->  1     | Waiting [W]: 364  
Crossed: 273   | Waiting [E]: 363   | <---  0     | Waiting [W]: 364  
Crossed: 274   | Waiting [E]: 362   | <---  0     | Waiting [W]: 364  
Crossed: 275   | Waiting [E]: 362   | --->  0     | Waiting [W]: 363  
Crossed: 276   | Waiting [E]: 362   | --->  0     | Waiting [W]: 362  
Crossed: 277   | Waiting [E]: 362   | --->  0     | Waiting [W]: 361  
Crossed: 278   | Waiting [E]: 361   | <---  0     | Waiting [W]: 361  
Crossed: 279   | Waiting [E]: 360   | <---  0     | Waiting [W]: 361  
Crossed: 280   | Waiting [E]: 360   | --->  0     | Waiting [W]: 360  
Crossed: 281   | Waiting [E]: 359   | <---  0     | Waiting [W]: 360  
Crossed: 282   | Waiting [E]: 359   | --->  0     | Waiting [W]: 359  
Crossed: 282   | Waiting [E]: 359   | --->  1     | Waiting [W]: 358  
Crossed: 284   | Waiting [E]: 358   | <---  0     | Waiting [W]: 358  
Crossed: 284   | Waiting [E]: 357   | <---  1     | Waiting [W]: 358  
Crossed: 285   | Waiting [E]: 357   | --->  2     | Waiting [W]: 356  
Crossed: 288   | Waiting [E]: 356   | <---  0     | Waiting [W]: 356  
Crossed: 289   | Waiting [E]: 356   | --->  0     | Waiting [W]: 355  
Crossed: 290   | Waiting [E]: 355   | <---  0     | Waiting [W]: 355  
Crossed: 290   | Waiting [E]: 354   | <---  1     | Waiting [W]: 355  
Crossed: 292   | Waiting [E]: 354   | --->  0     | Waiting [W]: 354  
Crossed: 292   | Waiting [E]: 353   | <---  1     | Waiting [W]: 354  
Crossed: 293   | Waiting [E]: 353   | --->  2     | Waiting [W]: 352  
Crossed: 295   | Waiting [E]: 352   | <---  1     | Waiting [W]: 352  
