
Generating 500 search-insert-delete triplets... 
Critical Section: Searchers: 148 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 149 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 149 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 150 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 150 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 149 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 148 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 147 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 147 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 146 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 145 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 144 |Inserters: 1 | Deleters: 0
